id,timestamp,cpu_percent,memory_percent,disk_percent,network_sent,network_recv,process_count
458,2026-07-29T21:00:33.032552,17.9,90.4,85.7,269314630,1876855741,320
459,2026-07-29T21:00:36.094416,23.2,91.3,85.7,269330509,1876959443,320
460,2026-07-29T21:00:39.118025,32.6,92.2,85.7,269403369,1883344969,322
461,2026-07-29T21:00:42.127125,30.0,91.5,85.7,269532284,1894028337,318
462,2026-07-29T21:00:45.143483,26.6,92.2,85.7,269636703,1902701736,319
463,2026-07-29T21:00:48.162477,23.4,92.1,85.7,269757024,1913225586,319
464,2026-07-29T21:00:51.175270,45.7,92.1,85.7,269910747,1925761467,316
465,2026-07-29T21:00:54.201000,25.7,93.8,85.7,270104640,1937294719,316
466,2026-07-29T21:00:57.211430,31.1,94.1,85.7,270225838,1947202826,316
467,2026-07-29T21:01:00.233704,17.0,94.0,85.7,270352479,1958110372,316
468,2026-07-29T21:01:03.249757,27.8,94.2,85.7,270467956,1968792826,316
469,2026-07-29T21:01:06.261503,23.2,94.9,85.7,270583198,1978601365,315
470,2026-07-29T21:01:09.277391,11.3,93.7,85.7,270700370,1988472194,315
471,2026-07-29T21:01:12.290114,15.1,92.8,85.8,270791942,1996408150,314
472,2026-07-29T21:01:15.575967,19.0,91.1,85.8,270897837,2005003131,314
473,2026-07-29T21:01:18.597453,41.8,92.4,85.8,271048865,2013772304,315
474,2026-07-29T21:01:21.614438,43.6,93.9,85.8,271197732,2023549478,316
475,2026-07-29T21:01:24.635739,13.6,93.2,85.8,271332138,2035856894,315
476,2026-07-29T21:01:27.656244,18.2,93.0,85.8,271452270,2046968034,314
477,2026-07-29T21:01:30.675018,20.4,92.9,85.8,271528485,2052938269,314
478,2026-07-29T21:01:33.692858,14.6,93.4,85.8,271628143,2061138520,316
479,2026-07-29T21:01:36.709190,28.6,92.0,85.8,271722737,2068328838,314
480,2026-07-29T21:01:39.724031,14.7,91.7,85.8,271798829,2074234064,314
481,2026-07-29T21:01:42.744995,22.1,91.7,85.8,271854428,2078671639,313
482,2026-07-29T21:01:45.793916,40.9,92.7,85.9,271867559,2078676091,313
483,2026-07-29T21:01:48.812985,33.0,93.2,85.9,271868530,2078677221,313
484,2026-07-29T21:01:51.848871,22.0,93.3,85.9,271882907,2078691127,313
485,2026-07-29T21:01:54.865811,25.2,97.9,85.8,271885041,2078693658,314
